tair_locus,name,,,,
AT1G59750.1,AtARF1,,,,
AT5G62000.2,AtARF2,,,,
AT2G33860.1,AtARF3,,,,
AT5G60450.1,AtARF4,,,,
AT1G19850.1,AtARF5,,,,
AT1G30330.1,AtARF6,,,,
AT5G20730.1,AtARF7,,,,
AT5G37020.1,AtARF8,,,,
AT4G23980.1,AtARF9,,,,
AT2G28350.1,AtARF10,,,,
AT2G46530.1,AtARF11,,,,
AT1G34310.1,AtARF12,,,,
AT1G34170.1,AtARF13,,,,
AT1G35540.1,AtARF14,,,,
AT1G35520.1,AtARF15,,,,
AT4G30080.1,AtARF16,,,,
AT1G77850.1,AtARF17,,,,
AT3G61830.1,AtARF18,,,,
AT1G19220.1,AtARF19,,,,
AT1G35240.1,AtARF20,,,,
AT1G34410.1,AtARF21,,,,
AT1G34390.1,AtARF22,,,,
AT1G43950.1,AtARF23,,,,
Glyma.03G208800.1,Glyma.03G208800.1,,,,
Glyma.15G142600.1,Glyma.15G142600.1,,,,
Glyma.16G023600.1,Glyma.16G023600.1,,,,
Glyma.16G000300.1,Glyma.16G000300.1,,,,
Glyma.04G254200.1,Glyma.04G254200.1,,,,
Glyma.04G200600.1,Glyma.04G200600.1,,,,
Glyma.17G256500.1,Glyma.17G256500.1,,,,
Glyma.17G047100.1,Glyma.17G047100.1,,,,
Glyma.20G180000.1,Glyma.20G180000.1,,,,
Glyma.02G239600.1,Glyma.02G239600.1,,,,
Glyma.02G281700.1,Glyma.02G281700.1,,,,
Glyma.12G171000.1,Glyma.12G171000.1,,,,
Glyma.12G174100.1,Glyma.12G174100.1,,,,
Glyma.12G164100.1,Glyma.12G164100.1,,,,
Glyma.12G076200.1,Glyma.12G076200.1,,,,
Glyma.12G071000.1,Glyma.12G071000.1,,,,
Glyma.10G210600.1,Glyma.10G210600.1,,,,
Glyma.10G053500.1,Glyma.10G053500.1,,,,
Glyma.08G027800.1,Glyma.08G027800.1,,,,
Glyma.08G100100.3,Glyma.08G100100.3,,,,
Glyma.08G008100.3,Glyma.08G008100.3,,,,
Glyma.01G103500.1,Glyma.01G103500.1,,,,
Glyma.01G002100.1,Glyma.01G002100.1,,,,
Glyma.15G181000.1,Glyma.15G181000.1,,,,
Glyma.15G078800.1,Glyma.15G078800.1,,,,
Glyma.15G091000.1,Glyma.15G091000.1,,,,
Glyma.07G054800.1,Glyma.07G054800.1,,,,
Glyma.07G202200.1,Glyma.07G202200.1,,,,
Glyma.07G130400.1,Glyma.07G130400.1,,,,
Glyma.07G272800.1,Glyma.07G272800.1,,,,
Glyma.07G134800.1,Glyma.07G134800.1,,,,
Glyma.11G204200.1,Glyma.11G204200.1,,,,
Glyma.11G145500.1,Glyma.11G145500.1,,,,
Glyma.11G154632.1,Glyma.11G154632.1,,,,
Glyma.09G072200.1,Glyma.09G072200.1,,,,
Glyma.13G174000.1,Glyma.13G174000.1,,,,
Glyma.13G084700.1,Glyma.13G084700.1,,,,
Glyma.13G221400.1,Glyma.13G221400.1,,,,
Glyma.13G325200.1,Glyma.13G325200.1,,,,
Glyma.13G234200.1,Glyma.13G234200.1,,,,
Glyma.13G140600.1,Glyma.13G140600.1,,,,
Glyma.13G112600.1,Glyma.13G112600.1,,,,
Glyma.05G143800.2,Glyma.05G143800.2,,,,
Glyma.05G200800.4,Glyma.05G200800.4,,,,
Glyma.05G221300.1,Glyma.05G221300.1,,,,
Glyma.14G166500.1,Glyma.14G166500.1,,,,
Glyma.14G208500.1,Glyma.14G208500.1,,,,
Glyma.14G032700.1,Glyma.14G032700.1,,,,
Glyma.14G217700.1,Glyma.14G217700.1,,,,
Glyma.06G164900.3,Glyma.06G164900.3,,,,
Glyma.03G070500.1,Glyma.03G070500.1,,,,
Glyma.03G258300.1,Glyma.03G258300.1,,,,
Glyma.19G181900.2,Glyma.19G181900.2,,,,
Glyma.18G184500.1,Glyma.18G184500.1,,,,
Glyma.18G046800.1,Glyma.18G046800.1,,,,