tair_locus,name
AT4G14560,AtIAA1
AT3G23030,AtIAA2
AT1G04240,AtIAA3
AT5G43700,AtIAA4
AT1G15580,AtIAA5
AT1G52830,AtIAA6
AT3G23050,AtIAA7
AT2G22670,AtIAA8
AT5G65670,AtIAA9
AT1G04100,AtIAA10
AT4G28640,AtIAA11
AT1G04550,AtIAA12
AT2G33310,AtIAA13
AT4G14550,AtIAA14
AT1G80390,AtIAA15
AT3G04730,AtIAA16
AT1G04250,AtIAA17
AT1G51950,AtIAA18
AT3G15540,AtIAA19
AT2G46990,AtIAA20
AT3G16500,AtIAA26
AT4G29080,AtIAA27
AT5G25890,AtIAA28
AT4G32280,AtIAA29
AT3G62100,AtIAA30
AT3G17600,AtIAA31
AT2G01200,AtIAA32
AT5G57420,AtIAA33
AT1G15050,AtIAA34